sample,reefstatus,date,time,lat,long,temp,sal,ta,dic,ISO_DateTime_Local
1,Bleached,31-Oct-15,09:12,21.45495,-157.7855,27.88,33.99,2185.02,1961.44,2015-10-31T09:12:00-10:00
2,Bleached,31-Oct-15,09:27,21.45846667,-157.7900167,27.32,33.25,2165.60,1932.42,2015-10-31T09:27:00-10:00
3,Bleached,31-Oct-15,09:40,21.46553333,-157.7983833,27.53,33.52,2196.00,1994.20,2015-10-31T09:40:00-10:00
4,Bleached,31-Oct-15,09:54,21.4695,-157.8037167,27.28,33.67,2217.84,2028.20,2015-10-31T09:54:00-10:00
5,Bleached,31-Oct-15,10:04,21.44921,-157.80052,27.15,33.03,2143.30,1923.14,2015-10-31T10:04:00-10:00
6,Bleached,31-Oct-15,10:11,21.47473333,-157.8111,27.31,33.47,2147.99,1904.59,2015-10-31T10:11:00-10:00
7,Bleached,31-Oct-15,10:13,21.4551,-157.80815,27.08,33.22,2145.78,1923.05,2015-10-31T10:13:00-10:00
8,Bleached,31-Oct-15,10:20,21.45959,-157.81119,27.37,33.25,2123.96,1880.42,2015-10-31T10:20:00-10:00
9,Bleached,31-Oct-15,11:25,21.47871667,-157.8149333,27.53,33.33,2142.89,1886.77,2015-10-31T11:25:00-10:00
10,Bleached,31-Oct-15,11:33,21.48263333,-157.8205333,27.69,33.68,2155.13,1927.50,2015-10-31T11:33:00-10:00
11,Bleached,31-Oct-15,11:48,21.48444,-157.83144,27.84,33.01,2111.76,1905.80,2015-10-31T11:48:00-10:00
12,Bleached,31-Oct-15,11:48,21.48695,-157.8261,27.86,33.30,2141.89,1916.84,2015-10-31T11:48:00-10:00
13,Bleached,31-Oct-15,11:54,21.49166667,-157.8317333,27.64,33.66,2125.98,1918.72,2015-10-31T11:54:00-10:00
14,Bleached,31-Oct-15,11:56,21.49196,-157.83487,27.55,33.34,2128.48,1845.86,2015-10-31T11:56:00-10:00
15,Bleached,31-Oct-15,12:13,21.49866,-157.83282,27.73,33.98,2151.90,1950.49,2015-10-31T12:13:00-10:00
16,Bleached,31-Oct-15,12:20,21.50112,-157.82681,27.51,33.88,2164.34,1935.51,2015-10-31T12:20:00-10:00
17,Bleached,31-Oct-15,12:28,21.50516,-157.82222,27.64,34.18,2186.80,1943.59,2015-10-31T12:28:00-10:00
18,Bleached,31-Oct-15,12:40,21.49154,-157.82997,27.70,33.56,2018.07,1827.11,2015-10-31T12:40:00-10:00
19,Bleached,31-Oct-15,12:49,21.48203,-157.82863,27.76,33.13,2063.46,1858.17,2015-10-31T12:49:00-10:00
20,Bleached,31-Oct-15,13:00,21.47301,-157.82475,27.71,33.05,2100.71,1871.23,2015-10-31T13:00:00-10:00
21,Bleached,31-Oct-15,13:08,21.49976667,-157.8285167,28.05,33.80,2162.96,1937.67,2015-10-31T13:08:00-10:00
22,Bleached,31-Oct-15,13:14,21.49578333,-157.8235667,28.23,33.50,2140.74,1921.26,2015-10-31T13:14:00-10:00
23,Bleached,31-Oct-15,13:21,21.49213333,-157.8189333,28.04,33.58,2148.16,1921.68,2015-10-31T13:21:00-10:00
24,Bleached,31-Oct-15,13:23,21.45443,-157.80057,28.03,32.88,2125.37,1901.08,2015-10-31T13:23:00-10:00
25,Bleached,31-Oct-15,13:27,21.48906667,-157.8142667,27.89,33.84,2155.64,1926.40,2015-10-31T13:27:00-10:00
26,Bleached,31-Oct-15,13:30,21.45809,-157.79829,27.57,33.44,2141.53,1899.23,2015-10-31T13:30:00-10:00
27,Bleached,31-Oct-15,13:32,21.48531667,-157.8084167,27.44,34.25,2179.91,1964.35,2015-10-31T13:32:00-10:00
28,Bleached,31-Oct-15,13:38,21.4494,-157.79179,27.80,33.05,2128.31,1887.42,2015-10-31T13:38:00-10:00
29,Bleached,31-Oct-15,13:38,21.48041667,-157.8028,27.31,36.70,2236.57,1976.75,2015-10-31T13:38:00-10:00
30,Bleached,31-Oct-15,13:59,21.47416667,-157.79345,27.59,34.50,2233.70,1963.16,2015-10-31T13:59:00-10:00
31,Bleached,31-Oct-15,14:06,21.47165,-157.7891167,27.38,34.65,2242.19,1981.08,2015-10-31T14:06:00-10:00
32,Bleached,31-Oct-15,14:12,21.46681667,-157.7856167,27.83,33.42,2161.65,1904.33,2015-10-31T14:12:00-10:00
33,Bleached,31-Oct-15,14:20,21.464,-157.7820667,27.78,33.50,2176.76,1939.70,2015-10-31T14:20:00-10:00
34,Recovery,29-Jun-16,10:24,21.4645,-157.7820667,26.1,35.13,2283.00,1986.77,2016-06-29T10:24:00-10:00
35,Recovery,29-Jun-16,10:31,21.47048333,-157.7772667,26.1,35.12,2289.44,1983.88,2016-06-29T10:31:00-10:00
36,Recovery,29-Jun-16,10:38,21.47986667,-157.7798333,26.2,35.12,2273.83,1972.65,2016-06-29T10:38:00-10:00
37,Recovery,29-Jun-16,10:45,21.48803333,-157.7898833,26.4,35.11,2242.65,1948.95,2016-06-29T10:45:00-10:00
38,Recovery,29-Jun-16,10:51,21.49921667,-157.7999167,26.4,35.06,2248.54,1953.88,2016-06-29T10:51:00-10:00
39,Recovery,29-Jun-16,11:00,21.5138,-157.8103667,26.3,35.20,2261.38,1963.49,2016-06-29T11:00:00-10:00
40,Recovery,29-Jun-16,11:11,21.50516667,-157.8222167,27.1,34.88,2156.74,1900.47,2016-06-29T11:11:00-10:00
41,Recovery,29-Jun-16,11:16,21.50111667,-157.8268167,27.2,34.82,2150.79,1895.81,2016-06-29T11:16:00-10:00
42,Recovery,29-Jun-16,11:24,21.49578333,-157.8235667,27.4,35.00,2147.15,1876.49,2016-06-29T11:24:00-10:00
43,Recovery,29-Jun-16,11:30,21.49213333,-157.8189333,27.1,35.00,2156.47,1891.52,2016-06-29T11:30:00-10:00
44,Recovery,29-Jun-16,11:35,21.48906667,-157.8142667,27.2,35.08,2150.29,1891.29,2016-06-29T11:35:00-10:00
45,Recovery,29-Jun-16,11:45,21.48531667,-157.8084167,27.1,35.09,2166.71,1893.83,2016-06-29T11:45:00-10:00
46,Recovery,29-Jun-16,11:52,21.48041667,-157.8028,26.8,35.05,2184.29,1917.46,2016-06-29T11:52:00-10:00
47,Recovery,29-Jun-16,12:00,21.47416667,-157.79345,26.8,35.10,2228.65,1953.09,2016-06-29T12:00:00-10:00
48,Recovery,29-Jun-16,12:05,21.47165,-157.7891167,26.8,35.11,2236.00,1942.42,2016-06-29T12:05:00-10:00
49,Recovery,29-Jun-16,12:14,21.46681667,-157.7856167,26.5,35.13,2261.60,1948.00,2016-06-29T12:14:00-10:00
50,Recovery,29-Jun-16,12:38,21.49866667,-157.8328167,27.8,34.67,2145.80,1869.44,2016-06-29T12:38:00-10:00
51,Recovery,29-Jun-16,13:01,21.49166667,-157.8317333,27.5,34.60,2113.57,1861.48,2016-06-29T13:01:00-10:00
52,Recovery,29-Jun-16,13:08,21.48443333,-157.8314333,27.7,34.38,2087.46,1864.04,2016-06-29T13:08:00-10:00
53,Recovery,29-Jun-16,13:15,21.47301667,-157.82475,27.7,34.14,2088.22,1850.29,2016-06-29T13:15:00-10:00
54,Recovery,29-Jun-16,13:20,21.46725,-157.8202667,27.6,34.55,2138.39,1885.73,2016-06-29T13:20:00-10:00
55,Recovery,29-Jun-16,13:30,21.45841667,-157.7936,27.5,34.78,2168.17,1903.77,2016-06-29T13:30:00-10:00
56,Recovery,29-Jun-16,13:34,21.46005,-157.7903167,27.5,34.78,2159.13,1898.35,2016-06-29T13:34:00-10:00
57,Recovery,29-Jun-16,13:38,21.46473333,-157.7949167,27.3,34.87,2172.45,1905.59,2016-06-29T13:38:00-10:00
58,Recovery,29-Jun-16,15:02,21.4578,-157.7888,27.7,35.03,2192.41,1928.23,2016-06-29T15:02:00-10:00
